Время начала работы программы: 04.08.2020 15:30:14

Количество устройств на шине: 1
Связь с модулем МВ26.20 установлена
Старт обмена МКИО. Номер калана: А Адрес ОУ: 1
КШ Ф2 ПА: 1
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОС: 0800 СД: 002d 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 b7c6 
ОС: 0800 СД: 002f 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0fbf 
ОС: 0800 СД: 0030 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 d92c 
ОС: 0800 СД: 0031 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 2511 
ОС: 0800 СД: 0033 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 9d68 
ОС: 0800 СД: 0034 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 e9dd 
ОС: 0800 СД: 0036 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 51a4 
ОС: 0800 СД: 0037 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 ad99 
ОС: 0800 СД: 0039 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 44f3 
ОС: 0800 СД: 003a 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 00b7 
ОС: 0800 СД: 003b 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 fc8a 
ОС: 0800 СД: 003d 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 7402 
ОС: 0800 СД: 003e 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 3046 
ОС: 0800 СД: 0040 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 1276 
ОС: 0800 СД: 0041 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 ee4b 
ОС: 0800 СД: 0042 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 aa0f 
ОС: 0800 СД: 0044 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 2287 
ОС: 0800 СД: 0045 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 deba 
ОС: 0800 СД: 0047 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 66c3 
ОС: 0800 СД: 0048 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 7394 
ОС: 0800 СД: 004a 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 cbed 
ОС: 0800 СД: 004b 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 37d0 
ОС: 0800 СД: 004c 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4365 
ОС: 0800 СД: 004e 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 fb1c 
ОС: 0800 СД: 004f 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0721 
ОС: 0800 СД: 0051 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 2d8f 
ОС: 0800 СД: 0052 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 69cb 
